x,y,label
30.47688,-1.1762196,0
23.66168,-2.9648159,0
24.085941,-7.7518787,0
26.843342,-4.1098013,0
24.252327,-7.7140913,0
22.418497,-2.6542628,0
30.95565,-1.613174,0
23.649979,-7.98282,0
22.605413,-2.9429388,0
29.851816,-2.725113,0
22.37997,-3.8834121,0
28.56582,-4.6640363,0
24.339592,-6.797855,0
23.601698,-2.3887246,0
30.369837,-1.0228797,0
23.970903,-0.40935472,0
23.701387,-2.174761,0
29.272448,-3.4818497,0
23.645546,-7.632567,0
23.416082,-2.8392546,0
29.779665,-4.6655545,0
30.028286,-1.684315,0
23.345474,-8.0211935,0
23.177952,-2.98007,0
29.611317,-4.81935,0
24.219362,-6.0497723,0
21.791986,-2.6617463,0
29.064642,-4.7498145,0
27.817139,-1.9108473,0
23.11562,-0.5694812,0
-25.024534,-39.960617,9
-23.057856,-35.47582,9
-26.416883,-38.193066,9
-24.62836,-36.633453,9
-25.852045,-38.072502,9
-23.985638,-36.12831,9
-25.63811,-40.85792,9
-22.656256,-39.557003,9
-21.56664,-40.09598,9
-23.914742,-36.01031,9
-24.321674,-36.640976,9
-23.897457,-36.02114,9
-24.449806,-36.83618,9
-27.715752,-39.618595,9
-26.338198,-40.494633,9
-26.374062,-40.289055,9
-27.344456,-38.807167,9
-26.20988,-38.884495,9
-26.28513,-39.832645,9
-25.809237,-38.033794,9
-26.199287,-38.996258,9
-26.44456,-40.76773,9
-26.828207,-40.498764,9
-27.700207,-39.471806,9
-23.540588,-35.652477,9
-25.93517,-38.1035,9
-26.307783,-38.88945,9
-24.785524,-37.214386,9
-27.815388,-39.11742,9
-24.688206,-36.731792,9
-56.515884,2.027443,10
-59.175762,1.028678,10
-59.506836,5.7409077,10
-60.70759,-0.34031743,10
-56.397156,1.2698416,10
-62.56698,-0.7230431,10
-58.248688,0.13658467,10
-59.78747,0.49693236,10
-60.141544,-0.22622275,10
-58.666363,4.080175,10
-59.58924,5.596489,10
-62.624134,-0.25469953,10
-59.252815,4.755574,10
-60.90932,0.4729725,10
-56.61565,2.6757486,10
-61.258038,2.9021168,10
-59.17431,4.7977667,10
-61.64201,0.3715847,10
-62.418545,-0.04998966,10
-60.583103,3.9381423,10
-61.628666,3.408834,10
-60.80132,3.545533,10
-58.749905,5.2972565,10
-56.827744,2.89402,10
-57.583187,2.0095503,10
-57.400787,3.1254513,10
-58.734962,4.107845,10
-57.849094,3.5244148,10
-59.594143,4.7674103,10
-60.733585,3.8121393,10
15.110715,22.906359,11
-28.781288,-25.482145,11
-32.519325,-22.764366,11
-30.34736,-21.91655,11
-30.717783,-23.824263,11
-31.499128,-22.219183,11
-29.759785,-25.803104,11
-31.758823,-22.380383,11
-30.069004,-25.441963,11
-30.788626,-22.172249,11
-33.222984,-26.775187,11
-30.408262,-26.234074,11
-30.821909,-22.28271,11
-33.82503,-23.057781,11
-28.131746,-25.143736,11
-33.14848,-23.972237,11
-32.681942,-23.680124,11
-26.864504,-24.574749,11
-33.339325,-23.566305,11
-30.753408,-24.283215,11
-28.24219,-23.754723,11
-33.80594,-24.215757,11
-30.465195,-25.564678,11
-26.619978,-24.545109,11
-33.262844,-24.307257,11
-30.584352,-24.185808,11
-26.53755,-24.26713,11
-33.515144,-24.435074,11
-30.5165,-25.812773,11
-28.077621,-23.824436,11
-18.693932,27.592243,12
-21.182333,26.340582,12
-21.47935,22.476131,12
-17.86611,23.271029,12
-21.29035,25.583992,12
-20.58229,21.374681,12
-19.034218,26.44604,12
-21.761759,22.79537,12
-17.74907,24.050549,12
-24.364254,24.51352,12
-18.196325,27.186316,12
-22.279287,24.359041,12
-18.814583,23.356705,12
-20.555956,27.16626,12
-20.073734,21.313097,12
-18.693745,26.759684,12
-25.025852,24.720364,12
-17.61471,24.394125,12
-22.607908,24.502632,12
-20.161154,22.67934,12
-22.497768,24.36448,12
-20.155926,27.10398,12
-18.85269,23.148464,12
-22.179956,24.144585,12
-19.547585,27.572208,12
-19.907137,21.298124,12
-21.35672,26.10045,12
-19.921228,23.253792,12
-21.605986,26.027254,12
-19.587572,23.056362,12
16.429068,16.507248,13
16.737156,16.08262,13
17.338173,17.568087,13
17.785555,17.337866,13
18.368448,17.150206,13
19.109423,17.061554,13
16.44159,16.105597,13
17.663128,17.475822,13
19.835718,17.171877,13
18.421665,15.92903,13
19.004322,17.17696,13
19.72367,17.140472,13
22.051172,15.950462,13
21.362095,15.473123,13
24.182343,16.640453,13
23.628668,16.656277,13
23.65711,17.608456,13
24.42931,16.989435,13
24.123228,17.204973,13
24.823124,16.439537,13
22.856804,16.5879,13
22.747662,16.473625,13
23.079824,16.721436,13
23.700323,17.621609,13
23.501518,16.976973,13
24.65232,17.846296,13
23.642132,17.467335,13
24.838997,16.885952,13
25.182781,17.521267,13
23.875187,17.785715,13
-20.050892,-5.6891594,14
-19.232058,-11.980296,14
-24.311378,-4.087869,14
-20.877401,-8.530967,14
-24.169664,-3.3200035,14
-21.012918,-8.615822,14
-26.275284,-2.488422,14
-20.027435,-7.8838587,14
-24.06711,-3.4172616,14
-19.840694,-7.55314,14
-25.57994,-2.9741821,14
-20.766884,-7.9691873,14
-24.611341,-4.1756053,14
-19.286077,-7.820538,14
-24.291636,-4.344183,14
-19.037344,-7.6648273,14
-24.698494,-3.4943078,14
-21.215807,-8.07724,14
-25.64714,-3.0173643,14
-24.510021,-5.7444534,14
-26.2745,-2.4069555,14
-23.950968,-6.0077715,14
-26.470695,-2.2780826,14
-23.81179,-6.0983887,14
-18.892996,-13.243942,14
-24.921421,-4.036156,14
-21.363443,-8.547222,14
-25.572865,-2.9963653,14
-23.67069,-6.4100413,14
-26.580088,-1.9881842,14
-1.2074412,45.3378,1
-1.4505657,46.372993,1
-2.5199528,47.40502,1
0.35883468,51.26594,1
1.9788476,51.518757,1
-1.4084444,45.984818,1
-1.6829093,45.60115,1
0.06978557,45.751747,1
-3.4988685,48.193176,1
2.3329172,51.73506,1
-2.337782,47.738453,1
1.099754,51.110497,1
-2.6684663,47.813843,1
