time,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,label
2.5369,0.25720,0.40430,0.76697,83.57252,25.49618,-14.29008,G1
2.5514,0.18396,0.40417,0.79639,84.51908,28.62595,-13.12977,G1
2.5778,0.11108,0.38171,0.81250,84.54962,24.27481,-10.91603,G1
2.5916,0.08557,0.35364,0.82434,84.12214,14.87023,-8.38168,G1
2.6058,0.08899,0.35376,0.82727,83.22137,3.09924,-6.74809,G1
2.6203,0.11938,0.39465,0.81128,83.11450,-6.15267,-6.80916,G1
2.6351,0.13257,0.45142,0.78101,84.24428,-12.82443,-6.88550,G1
2.6497,0.14783,0.50208,0.72876,85.45038,-18.41221,-7.49618,G1
2.6629,0.19873,0.53870,0.67773,87.61832,-22.80916,-8.22901,G1
2.7616,0.26318,0.55664,0.62939,90.06107,-23.31298,-7.35878,G1
2.7888,0.30127,0.54016,0.65808,93.78626,-15.93893,-4.51908,G1
2.9249,0.28308,0.52905,0.72998,99.05344,-1.60305,-3.38931,G1
2.9408,0.19946,0.52698,0.78003,103.23664,13.63359,-6.18321,G1
2.9583,0.05713,0.54248,0.81165,105.64886,21.23664,-10.77863,G1
2.9735,-0.02820,0.57788,0.80493,106.15267,14.09160,-15.87786,G1
3.0002,-0.02869,0.64270,0.76892,106.01527,-5.48092,-19.52672,G1
3.0156,0.05176,0.69971,0.73511,105.54198,-28.33588,-19.96947,G1
3.0305,0.17505,0.73584,0.70337,104.70229,-46.00000,-17.74046,G1
3.0598,0.33667,0.75281,0.65295,104.19847,-51.98473,-14.45802,G1
3.0743,0.48389,0.75330,0.62854,104.18320,-41.60305,-9.55725,G1
3.0894,0.51733,0.74548,0.66699,106.38168,-12.82443,-3.87786,G1
3.1041,0.40137,0.75391,0.73706,110.71756,24.61069,-2.12214,G1
3.1194,0.15405,0.76514,0.79517,113.81680,53.29771,-5.54198,G1
3.2344,-0.09668,0.76282,0.83484,113.57252,57.08397,-11.22137,G1
3.3632,-0.20874,0.76770,0.83899,111.34351,32.36641,-16.64122,G1
3.3783,-0.16003,0.81152,0.79944,108.90076,-8.77863,-19.06870,G1
3.3920,0.00830,0.88477,0.78479,106.99236,-47.55725,-17.69466,G1
3.4047,0.23071,0.92712,0.78528,105.74046,-70.19847,-15.19084,G1
3.4340,0.43127,0.92871,0.79565,104.48855,-70.04580,-13.05344,G1
3.4483,0.55298,0.92566,0.81299,103.51145,-46.87023,-11.28244,G1
3.4694,0.53772,0.93274,0.85278,102.53435,-9.00763,-10.56489,G1
3.4870,0.38989,0.91821,0.87427,101.14503,29.96947,-10.85496,G1
3.5011,0.18616,0.91333,0.87964,98.06107,51.80153,-10.93130,G1
3.5166,0.06921,0.93542,0.87585,93.38931,49.29771,-10.10687,G1
3.5316,0.03833,0.96582,0.84937,87.84733,32.32061,-7.23664,G1
3.5454,0.11438,0.99902,0.82104,82.48855,11.51145,-3.43511,G1
3.6529,0.20386,1.00867,0.79858,78.24428,-3.46565,1.81679,G1
3.6863,0.26697,0.99902,0.77393,75.40458,-9.11450,5.75573,G1
3.8171,0.35852,0.94348,0.76990,72.67175,-3.00763,7.77099,G1
3.8314,0.36182,0.90356,0.81006,71.55725,13.51145,11.28244,G1
3.8445,0.30981,0.92334,0.79810,70.00000,34.24427,11.06870,G1
3.8765,0.26501,0.96008,0.76160,67.20611,53.08397,6.64122,G1
3.8934,0.10522,0.94556,0.77063,63.93893,65.20611,6.42748,G1
3.9061,-0.03052,0.92725,0.77393,60.15267,58.62595,6.59542,G1
3.9193,-0.03271,0.93274,0.76013,56.21374,37.93893,5.57252,G1
3.9334,0.01208,0.94128,0.71265,52.19847,12.70229,8.56489,G1
3.9478,0.07471,0.93701,0.67419,49.08397,-9.38931,11.12977,G1
3.9723,0.12378,0.92566,0.64502,47.61832,-24.90076,12.10687,G1
3.9866,0.15906,0.91614,0.62622,47.12977,-34.64122,12.67176,G1
3.9986,0.20630,0.87805,0.63867,46.47328,-40.04580,13.78626,G1
4.1104,0.28052,0.87097,0.62195,44.59542,-38.19847,15.35878,G1
