time,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,label
0.1709,-0.43567,0.98718,1.04456,105.87786,-44.94656,42.03053,G3
0.1873,-0.23340,1.00061,1.02283,90.65649,-40.85496,39.93893,G3
0.2011,-0.23340,1.00061,1.02283,90.65649,-40.85496,39.93893,G3
0.2140,-0.21167,0.99927,1.02710,80.22900,-24.91603,38.77863,G3
0.2275,-0.28394,0.94775,1.12634,56.87023,15.41985,30.64122,G3
0.2406,-0.33813,0.91333,1.17664,46.56488,27.00763,26.42748,G3
0.2553,-0.39075,0.89966,1.22339,36.94656,31.14504,23.02290,G3
0.2709,-0.42493,0.90613,1.26929,27.35878,27.52672,20.01527,G3
0.2911,-0.44702,0.93677,1.27930,17.12977,19.43511,17.16031,G3
0.3093,-0.42322,0.96252,1.26978,6.03053,9.98473,14.87023,G3
0.3295,-0.38489,0.97473,1.25403,-6.25954,2.79389,13.48092,G3
0.3463,-0.37231,0.96228,1.23071,-19.78626,0.27481,11.51145,G3
0.4343,-0.37354,0.94836,1.22595,-33.57252,2.36641,8.21374,G3
0.5880,-0.37378,0.95056,1.24390,-46.16794,6.97710,4.58015,G3
0.6335,-0.37500,0.96729,1.26160,-58.21374,13.38931,1.25191,G3
0.6514,-0.40576,0.98352,1.25244,-70.47328,20.73282,-2.76336,G3
0.6686,-0.44092,0.99805,1.23071,-82.41222,26.35114,-8.54962,G3
0.6991,-0.47961,1.00586,1.20898,-93.81680,29.00763,-14.36641,G3
0.7123,-0.50403,1.01440,1.16602,-104.47328,28.97710,-18.65649,G3
0.7278,-0.52966,1.02527,1.12329,-113.66412,27.67939,-22.15267,G3
0.7410,-0.55627,1.02942,1.12036,-121.74046,26.88550,-26.32061,G3
0.7547,-0.57190,1.04871,1.11230,-129.11450,25.05343,-30.96183,G3
0.7695,-0.60632,1.07422,1.10645,-136.48856,21.51145,-35.23664,G3
0.7850,-0.69324,1.08435,1.09326,-143.74046,13.28244,-39.60305,G3
0.8051,-0.82019,1.11072,1.06287,-151.32825,-7.45038,-43.95420,G3
0.9313,-0.88257,1.09790,0.97253,-161.28244,-44.93130,-45.63359,G3
1.1340,-0.80212,1.10144,0.98901,-166.36641,-83.34351,-42.03053,G3
1.1572,-0.64233,1.12231,0.95557,-171.14503,-109.06870,-35.29771,G3
1.1723,-0.46155,1.12830,0.94287,-178.18321,-108.22900,-31.45038,G3
1.1882,-0.33875,1.11621,0.97546,-188.39694,-78.79389,-34.61069,G3
1.2244,-0.36523,1.09546,0.99890,-200.85497,-32.62595,-44.22901,G3
1.2432,-0.52832,1.07837,0.98145,-213.29771,10.27481,-59.41985,G3
1.2582,-0.69360,1.04297,0.93408,-222.83969,33.32824,-75.98473,G3
1.2731,-0.79309,0.98328,0.90833,-227.70993,32.01527,-88.12214,G3
1.2894,-0.80908,0.91736,0.87341,-228.80916,13.64886,-94.56489,G3
1.3042,-0.77002,0.86768,0.84485,-227.02290,-11.92366,-97.02290,G3
1.3186,-0.66357,0.83960,0.80872,-224.01527,-35.98473,-96.25954,G3
1.3318,-0.55396,0.81470,0.77319,-220.70229,-53.03817,-94.64122,G3
1.4220,-0.47485,0.77844,0.73999,-217.86259,-61.00763,-92.99236,G3
1.5871,-0.41162,0.73779,0.71033,-215.29771,-62.90076,-92.10687,G3
1.6119,-0.36816,0.68530,0.66760,-212.19847,-61.74046,-91.70992,G3
1.6278,-0.32812,0.62048,0.60901,-208.32062,-59.12977,-90.85497,G3
1.6419,-0.29883,0.55078,0.58032,-203.11450,-57.32824,-88.87023,G3
1.6566,-0.28882,0.47766,0.54553,-196.90076,-56.38168,-86.65649,G3
1.6892,-0.30127,0.41406,0.52600,-189.93893,-55.80153,-84.93130,G3
1.7061,-0.30627,0.37036,0.50916,-181.92366,-57.45038,-83.49619,G3
1.7201,-0.27698,0.34644,0.49866,-173.20610,-62.21374,-81.38931,G3
1.7328,-0.22656,0.32397,0.46924,-164.47328,-67.49619,-77.51145,G3
1.7475,-0.19946,0.27881,0.43567,-156.38168,-68.73283,-72.68702,G3
1.7614,-0.17078,0.22144,0.40649,-148.32062,-66.35114,-68.76336,G3
1.7767,-0.13647,0.15503,0.40552,-139.90840,-61.72519,-65.67939,G3
1.7943,-0.11584,0.10229,0.39697,-131.32825,-57.05344,-62.24427,G3
1.9245,-0.12012,0.07263,0.37317,-123.43511,-51.49618,-58.24427,G3
2.1588,-0.14014,0.05627,0.36841,-115.90839,-46.90076,-54.07634,G3
2.1855,-0.14832,0.06409,0.35059,-109.03817,-44.73283,-50.64122,G3
2.2231,-0.14282,0.06677,0.31860,-102.16794,-44.35115,-47.45038,G3
2.2393,-0.12061,0.06287,0.30029,-95.34351,-43.80153,-44.19847,G3
2.2542,-0.08105,0.04004,0.27747,-88.82442,-40.70229,-41.40458,G3
2.2681,-0.03467,0.01038,0.24451,-81.87786,-35.11450,-39.60305,G3
2.2819,0.02246,-0.02905,0.24304,-73.98473,-26.45802,-37.89313,G3
2.2986,0.03503,-0.05969,0.26453,-66.13741,-16.79389,-35.80153,G3
2.3181,0.01135,-0.07483,0.24268,-59.78626,-8.01527,-34.03053,G3
2.3353,-0.01855,-0.05408,0.27515,-54.33588,-0.70229,-32.04580,G3
2.3507,-0.02502,-0.00586,0.32141,-50.61069,2.13740,-29.22137,G3
2.3659,0.00122,0.05725,0.32935,-49.25191,2.50382,-23.96947,G3
2.4749,0.02649,0.07166,0.31104,-50.36641,6.77863,-17.00763,G3
2.4979,0.02930,0.03271,0.29834,-51.64885,15.12977,-11.17557,G3
2.6284,0.02844,-0.04028,0.28955,-51.40458,26.67175,-8.35114,G3
2.6602,0.00378,-0.13281,0.27625,-48.50382,37.31298,-6.76336,G3
2.6770,-0.05383,-0.20837,0.27466,-42.47328,43.57252,-6.07634,G3
2.6908,-0.11890,-0.24622,0.27844,-34.10687,44.06107,-6.85496,G3
2.7211,-0.15637,-0.24219,0.26611,-24.58015,39.38931,-8.16794,G3
2.7371,-0.15918,-0.21875,0.26099,-14.68702,31.63359,-8.45802,G3
2.7500,-0.13293,-0.19348,0.26025,-5.66412,24.44275,-7.61832,G3
2.7627,-0.08228,-0.18835,0.26086,2.32061,19.77099,-6.06107,G3
2.7784,-0.03491,-0.19995,0.26770,9.55725,18.54962,-3.63359,G3
2.7937,-0.00476,-0.22278,0.26465,16.44275,20.65649,-0.87023,G3
2.8075,0.01221,-0.24500,0.27014,23.46565,25.22137,2.03053,G3
2.8236,0.00195,-0.25635,0.27686,30.51908,30.79389,5.28244,G3
2.8357,-0.01990,-0.24731,0.26489,38.50382,34.85496,9.02290,G3
2.9453,-0.04016,-0.22058,0.25928,47.17557,36.96183,14.12214,G3
2.9919,-0.05603,-0.17712,0.26160,56.09160,37.29771,20.79389,G3
3.1905,-0.07593,-0.13416,0.25220,65.31298,37.38931,27.58779,G3
3.2098,-0.09277,-0.08459,0.26794,74.68702,38.32061,33.57252,G3
3.2247,-0.10742,-0.04736,0.28455,83.98473,40.19847,38.54962,G3
3.2391,-0.11938,-0.02576,0.30762,93.41985,43.25191,42.21374,G3
3.2711,-0.13257,-0.01721,0.32324,102.39695,47.89313,44.99237,G3
3.2852,-0.14819,-0.01343,0.33203,111.69466,53.52672,47.92366,G3
3.3012,-0.16162,-0.00183,0.34399,121.51145,58.64122,51.77099,G3
3.3244,-0.18213,0.02051,0.34241,131.60306,62.09160,56.51908,G3
3.3378,-0.19580,0.06531,0.35681,142.13741,64.10687,62.25954,G3
3.3503,-0.20667,0.14551,0.40637,152.04581,64.73283,69.51145,G3
3.3624,-0.23694,0.24451,0.46375,160.18321,64.35114,77.98473,G3
3.3752,-0.29053,0.33875,0.50916,165.60306,65.67939,85.69466,G3
3.5083,-0.34106,0.41016,0.56055,169.22137,68.42748,91.00764,G3
3.6793,-0.38525,0.44446,0.61230,171.80153,70.59542,94.04580,G3
3.7287,-0.41882,0.43921,0.64392,174.21375,72.88550,95.28244,G3
3.7463,-0.42957,0.42334,0.64978,176.91603,75.19084,95.87786,G3
3.7633,-0.42407,0.42395,0.62549,181.11450,76.61069,97.49619,G3
3.7782,-0.41467,0.46387,0.59485,186.33588,77.66412,100.70229,G3
3.7927,-0.42957,0.52600,0.58948,191.93893,77.70992,104.76336,G3
3.8115,-0.43481,0.62695,0.61182,196.71756,76.83969,108.00000,G3
3.8318,-0.46667,0.72473,0.64380,199.31297,77.11450,112.06107,G3
3.8446,-0.49695,0.82092,0.71118,200.71756,77.61832,117.29771,G3
3.8583,-0.54431,0.90283,0.80298,200.77863,78.74809,123.38931,G3
3.8755,-0.59082,0.94470,0.84106,199.17557,83.23664,128.97710,G3
3.8912,-0.60937,0.95752,0.85449,197.77100,89.41985,132.56488,G3
3.9051,-0.60828,0.96887,0.85510,197.19084,94.58015,133.98473,G3
4.0382,-0.64758,0.99756,0.81580,196.13741,99.02290,135.51144,G3
