time,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,label
0.3804,0.27820,0.74902,0.55981,56.85496,136.80916,61.96947,G13
0.3950,0.26697,0.75769,0.58301,55.06870,126.53435,60.99237,G13
0.4093,0.26978,0.74719,0.61523,53.28244,115.77100,59.29771,G13
0.4227,0.27673,0.72510,0.64917,51.12977,107.45038,56.64122,G13
0.4403,0.28149,0.69336,0.67822,48.54962,102.82442,52.93130,G13
0.4605,0.27905,0.67651,0.69421,45.64885,100.53435,49.93893,G13
0.4795,0.25732,0.66870,0.70044,42.85496,98.24428,47.83206,G13
0.5006,0.24866,0.69238,0.71130,40.68702,93.63359,44.07634,G13
0.5186,0.23950,0.71069,0.70264,38.56488,85.87786,40.53435,G13
0.5354,0.24597,0.71619,0.70325,36.83969,76.56489,36.96183,G13
0.5518,0.26624,0.70935,0.70459,34.79389,68.35114,32.27481,G13
0.5668,0.30139,0.69360,0.70740,32.61069,63.69466,26.96183,G13
0.6926,0.33411,0.67749,0.71191,30.10687,64.13741,22.35114,G13
0.8123,0.34448,0.66638,0.71069,27.41985,67.52672,19.67939,G13
0.8256,0.33313,0.66772,0.69556,25.14504,70.79389,18.79389,G13
0.8406,0.29346,0.67725,0.66736,23.23664,72.09161,18.48855,G13
0.8695,0.28687,0.70752,0.64355,22.21374,71.86259,15.34351,G13
0.8839,0.29687,0.72668,0.63525,20.79389,71.06870,12.19847,G13
0.8978,0.33423,0.73022,0.62488,18.76336,70.10687,9.84733,G13
0.9271,0.37463,0.71021,0.63000,16.96183,71.32825,7.26718,G13
0.9412,0.39136,0.66687,0.65332,15.66412,76.16794,5.28244,G13
0.9552,0.36499,0.63098,0.69482,14.47328,82.61069,4.04580,G13
0.9690,0.33459,0.62561,0.70947,13.12977,86.54962,3.90840,G13
0.9833,0.29883,0.65601,0.73718,11.93893,84.13741,5.49618,G13
0.9997,0.28284,0.68591,0.74707,10.85496,75.17558,6.18321,G13
1.1526,0.31421,0.72375,0.74634,9.95420,62.87023,4.70229,G13
1.2897,0.32935,0.73596,0.74841,8.50382,50.18320,6.00000,G13
1.3066,0.35229,0.71033,0.78052,6.67176,40.12214,6.77863,G13
1.3229,0.37915,0.66992,0.82031,4.36641,35.03817,6.48855,G13
1.3427,0.40015,0.64465,0.85400,2.04580,32.83969,6.93130,G13
1.3659,0.40173,0.65674,0.88782,-0.53435,31.05343,9.49618,G13
1.3822,0.37903,0.68079,0.92725,-3.35878,27.55725,13.31298,G13
1.3988,0.36401,0.72717,0.97656,-6.91603,21.43511,15.09924,G13
1.4120,0.39429,0.78503,1.01172,-11.09924,12.15267,13.35878,G13
1.4267,0.45361,0.81213,1.06042,-15.57252,1.70992,9.54198,G13
1.4420,0.49719,0.77783,1.12183,-20.67175,-6.27481,6.85496,G13
1.4569,0.50549,0.70825,1.15967,-26.62595,-10.07634,8.09160,G13
1.4724,0.46008,0.66907,1.19568,-32.53435,-14.09160,13.77099,G13
1.5719,0.42236,0.70093,1.23718,-39.67939,-23.06870,21.93893,G13
1.7365,0.41785,0.77112,1.25598,-48.65649,-37.52672,30.35114,G13
1.8132,0.46558,0.83630,1.26025,-57.63359,-54.48855,35.67939,G13
1.8307,0.55237,0.88098,1.22827,-65.96947,-67.51145,36.90076,G13
1.8462,0.60828,0.86011,1.21118,-73.40458,-73.54198,37.06870,G13
1.8617,0.61401,0.79077,1.21472,-80.33588,-70.79389,36.56488,G13
1.8781,0.59534,0.73425,1.22534,-87.49619,-63.64885,38.62595,G13
1.9069,0.54529,0.71313,1.23328,-94.77863,-59.48092,44.74809,G13
1.9220,0.49084,0.72290,1.22180,-102.22900,-61.51145,53.72519,G13
1.9371,0.45996,0.74988,1.18103,-109.52672,-67.66412,63.74046,G13
1.9512,0.44543,0.78088,1.11182,-116.01527,-75.46565,71.19084,G13
1.9653,0.44397,0.78992,1.05298,-121.03817,-82.53435,73.86259,G13
1.9790,0.45605,0.76477,1.01184,-125.38931,-85.57252,72.19847,G13
1.9943,0.46533,0.72290,0.97400,-130.22900,-84.30534,69.48092,G13
2.1321,0.45667,0.67395,0.94519,-135.09924,-80.32061,67.67939,G13
2.3027,0.44873,0.63586,0.91125,-139.38931,-75.16031,65.41985,G13
2.3183,0.42847,0.61682,0.87549,-143.31297,-71.02290,64.10687,G13
2.3334,0.40393,0.59900,0.82947,-146.73282,-69.80153,63.80153,G13
2.3524,0.38916,0.59338,0.78699,-149.38931,-71.81680,63.16031,G13
2.3711,0.37170,0.58374,0.73755,-151.32825,-75.32825,61.83206,G13
2.3881,0.36279,0.55383,0.69299,-152.82443,-78.25954,59.96947,G13
2.4027,0.34485,0.51111,0.66089,-154.03053,-79.95420,57.96947,G13
2.4157,0.34363,0.46533,0.64172,-154.76335,-80.38168,56.44275,G13
2.4422,0.33545,0.43481,0.60376,-155.31297,-79.78626,55.35878,G13
2.4585,0.33728,0.44543,0.55212,-155.64885,-80.19847,53.09924,G13
2.4710,0.33240,0.45972,0.45728,-155.83206,-82.38168,47.54198,G13
2.4850,0.32703,0.44043,0.36694,-155.02290,-84.82442,38.12214,G13
2.4988,0.32922,0.39233,0.30347,-152.74809,-85.40458,26.97710,G13
2.6237,0.32629,0.33594,0.27991,-149.61832,-83.96947,15.95420,G13
2.7975,0.31775,0.28943,0.27039,-146.94656,-82.18320,6.24427,G13
2.8152,0.32031,0.26428,0.24854,-144.38168,-82.44275,-1.37405,G13
2.8284,0.31055,0.24146,0.21167,-140.50381,-84.74809,-6.77863,G13
2.8421,0.30188,0.22534,0.16992,-135.70993,-87.70992,-10.25954,G13
2.8568,0.29358,0.18799,0.12524,-130.79390,-89.25191,-14.79389,G13
2.8847,0.29236,0.16309,0.11340,-125.19084,-86.47328,-22.94657,G13
2.9037,0.30103,0.14819,0.12158,-120.22900,-78.54962,-34.50382,G13
2.9173,0.31738,0.13452,0.12317,-116.24428,-65.46565,-47.61832,G13
2.9301,0.33228,0.12366,0.11450,-112.71756,-48.76336,-60.21374,G13
2.9437,0.33032,0.11182,0.09595,-109.22137,-31.80153,-71.81680,G13
2.9577,0.31238,0.10620,0.05029,-105.00764,-18.30534,-82.94656,G13
2.9713,0.29333,0.10950,-0.00317,-99.48092,-11.09924,-95.11450,G13
2.9905,0.28271,0.11292,-0.04980,-91.77100,-10.45802,-108.93130,G13
3.2102,0.29260,0.12939,-0.04932,-81.92367,-13.32824,-123.60305,G13
3.2576,0.31982,0.15747,0.00208,-71.92367,-16.35114,-138.50381,G13
3.2714,0.35034,0.20374,0.07825,-63.92366,-17.00763,-151.64885,G13
3.2912,0.39746,0.24988,0.12732,-59.96947,-16.03053,-162.06107,G13
3.3165,0.41553,0.28503,0.09351,-57.74046,-15.80153,-168.91603,G13
3.3311,0.41724,0.30396,0.01221,-54.64122,-17.57252,-173.60306,G13
3.3456,0.41882,0.31128,-0.04993,-49.92366,-19.89313,-180.03053,G13
3.3683,0.44592,0.34155,-0.04321,-43.51145,-22.12214,-189.81679,G13
3.3830,0.54114,0.48206,0.04114,-33.05344,-25.22137,-210.03053,G13
3.3960,0.57239,0.51855,0.06262,-30.29008,-25.95420,-215.70993,G13
3.4098,0.61389,0.52832,0.08484,-27.78626,-25.96947,-218.35115,G13
3.4239,0.64978,0.52258,0.11328,-24.96183,-26.35114,-218.70229,G13
3.4383,0.68396,0.55457,0.11658,-22.04580,-27.89313,-217.75572,G13
3.5615,0.72522,0.61511,0.11267,-18.80916,-29.45038,-215.87787,G13
3.6994,0.79504,0.69067,0.11230,-15.51145,-28.96183,-213.26718,G13
3.7157,0.87927,0.73962,0.10522,-12.82443,-26.88550,-208.77863,G13
3.7336,0.96753,0.74487,0.08215,-10.09160,-24.62595,-200.50381,G13
3.7498,1.04321,0.69995,0.05505,-5.92366,-23.89313,-186.79390,G13
3.7765,1.03625,0.64258,0.12158,-0.19847,-25.61832,-167.31297,G13
3.7915,0.91675,0.62805,0.22168,4.62595,-26.21374,-147.49619,G13
3.8075,0.79651,0.67883,0.29236,7.26718,-26.51908,-135.00763,G13
3.8239,0.78442,0.75562,0.32751,9.66412,-27.08397,-130.94656,G13
3.8388,0.88672,0.83240,0.31787,13.26718,-26.91603,-130.82443,G13
3.8542,1.00195,0.86694,0.31165,17.74046,-22.04580,-131.46565,G13
3.8690,1.11121,0.85632,0.30811,21.61832,-10.25954,-131.93893,G13
3.8834,1.13977,0.84546,0.32825,24.73282,6.54962,-130.96184,G13
