time,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,label
0.0882,0.45056,-0.31116,0.55933,-39.35878,27.90840,78.30534,G12
0.1073,0.39526,-0.29004,0.54468,-38.21374,24.93130,77.87786,G12
0.1241,0.35400,-0.32629,0.50671,-37.70992,19.52672,77.03817,G12
0.1404,0.37500,-0.43872,0.42920,-36.41221,13.08397,76.12214,G12
0.1572,0.41113,-0.50928,0.37183,-30.91603,8.56489,76.01527,G12
0.1765,0.44104,-0.46863,0.38855,-22.82443,9.43511,75.86259,G12
0.2844,0.43127,-0.35645,0.47070,-15.28244,15.34351,76.76336,G12
0.4200,0.36243,-0.26685,0.52698,-10.80916,21.81679,78.61069,G12
0.4373,0.28137,-0.25061,0.50977,-9.87786,24.32061,79.40458,G12
0.4494,0.21106,-0.31787,0.48401,-9.72519,20.88550,79.45038,G12
0.4622,0.16309,-0.40979,0.45850,-9.00763,14.00000,79.35878,G12
0.4959,0.15332,-0.46021,0.43774,-6.96183,5.48092,77.78626,G12
0.5096,0.16223,-0.43286,0.43237,-3.55725,-1.98473,74.73283,G12
0.5245,0.16968,-0.37793,0.44275,1.03817,-5.69466,71.98473,G12
0.5369,0.17200,-0.35278,0.44824,5.66412,-6.62595,69.66412,G12
0.5522,0.15295,-0.35864,0.44751,10.19847,-6.09160,67.57252,G12
0.5663,0.12683,-0.38025,0.43420,15.16031,-6.80916,66.01527,G12
0.5791,0.11951,-0.42737,0.42920,20.97710,-9.49618,64.91603,G12
0.5940,0.12305,-0.45312,0.44299,27.66412,-11.66412,63.98473,G12
0.7293,0.15259,-0.41553,0.44910,34.12214,-12.53435,62.77863,G12
0.8604,0.19043,-0.33704,0.46216,39.37405,-10.21374,61.80153,G12
0.9304,0.18201,-0.27600,0.48523,43.34351,-2.85496,61.55725,G12
0.9468,0.12268,-0.24841,0.48914,45.77099,6.82443,60.94656,G12
0.9627,0.08008,-0.28894,0.47559,47.29771,11.61832,58.70229,G12
0.9760,0.04797,-0.35303,0.46960,50.03053,8.53435,56.62595,G12
0.9959,-0.00745,-0.34351,0.51672,54.45802,0.15267,55.87786,G12
1.0170,-0.01746,-0.28870,0.53442,57.55725,-11.96947,54.91603,G12
1.0295,0.03772,-0.25378,0.52246,59.23664,-26.25954,54.79389,G12
1.0442,0.07886,-0.24646,0.52917,61.05344,-35.40458,55.83206,G12
1.0560,0.10278,-0.26611,0.54810,63.25191,-35.46565,55.40458,G12
1.0703,0.10535,-0.29248,0.53015,67.17558,-31.64886,52.67176,G12
1.1012,0.09753,-0.30273,0.53687,73.40458,-27.31298,47.20611,G12
1.1161,0.05249,-0.25940,0.62402,81.12977,-22.79389,40.82443,G12
1.2391,0.00879,-0.20544,0.69604,86.16794,-21.06870,35.23664,G12
1.4103,0.00867,-0.19067,0.69531,87.75572,-25.02290,30.91603,G12
1.4326,0.01917,-0.19128,0.65955,88.90076,-31.61832,27.75573,G12
1.4496,0.05334,-0.19128,0.61475,91.08397,-37.29771,24.90076,G12
1.4623,0.10754,-0.18188,0.62146,95.77100,-40.83969,22.58015,G12
1.4765,0.15967,-0.14893,0.66772,101.26717,-41.28244,20.59542,G12
1.5134,0.19946,-0.08228,0.77625,106.03053,-38.24427,19.05343,G12
1.5313,0.16956,-0.00598,0.93237,108.85497,-32.80916,18.90076,G12
1.5463,0.08447,0.03943,0.99841,108.21374,-27.52672,18.19847,G12
1.5682,0.05920,0.02539,0.97729,104.22900,-28.44275,13.98473,G12
1.5830,0.09265,-0.01758,0.91357,101.96947,-33.93893,9.75572,G12
1.5972,0.11768,-0.03430,0.85144,101.96947,-39.38931,7.45038,G12
1.6110,0.18726,-0.02380,0.90979,105.46565,-38.70229,3.80153,G12
1.7389,0.27625,0.01685,0.99158,108.80916,-30.96183,1.11450,G12
1.8936,0.26917,0.08740,1.11487,110.51908,-19.64886,1.26718,G12
1.9107,0.18604,0.15112,1.18213,108.87023,-7.40458,2.21374,G12
1.9253,0.14136,0.17859,1.18726,103.63359,-4.13740,0.90076,G12
1.9524,0.11768,0.18030,1.19775,98.32061,-10.29008,-0.54962,G12
1.9730,0.12463,0.16077,1.20874,93.29771,-21.43511,-1.32824,G12
1.9891,0.17322,0.12903,1.23218,89.69466,-32.06107,-2.39695,G12
2.0067,0.26147,0.12878,1.24902,87.03817,-38.22901,-3.12977,G12
2.0295,0.33472,0.19067,1.30261,84.13741,-38.04580,-2.61069,G12
2.0448,0.32251,0.25623,1.33960,79.26717,-31.11450,-0.83969,G12
2.0590,0.29004,0.26099,1.32068,72.47328,-21.87786,-0.54962,G12
2.0738,0.27173,0.22180,1.30273,66.22900,-17.19084,-1.86260,G12
2.0884,0.24854,0.18872,1.30688,61.83206,-15.09924,-2.67176,G12
2.2086,0.25110,0.18567,1.33191,57.81680,-13.78626,-4.15267,G12
2.4139,0.26526,0.21191,1.35388,53.69466,-13.58779,-5.29771,G12
2.4343,0.27271,0.23010,1.33838,48.85496,-13.22137,-5.46565,G12
2.4478,0.28357,0.21960,1.32886,43.74046,-11.57252,-5.40458,G12
2.4616,0.29822,0.20508,1.33472,39.12977,-10.10687,-5.52672,G12
2.4944,0.30396,0.19568,1.32202,34.90076,-8.97710,-6.09160,G12
2.5096,0.30347,0.21606,1.32324,30.73282,-8.71756,-7.54198,G12
2.5237,0.32947,0.24475,1.27307,21.52672,-10.97710,-8.76336,G12
2.5389,0.36743,0.23083,1.24316,16.94657,-10.41221,-6.73282,G12
2.5528,0.41650,0.20044,1.20313,12.56489,-7.06870,-4.33588,G12
2.5655,0.44873,0.18665,1.17236,9.75572,0.59542,-3.19084,G12
2.5787,0.43469,0.20447,1.15625,8.10687,11.93893,-3.28244,G12
2.5926,0.37732,0.22888,1.16248,5.92366,23.43511,-4.38168,G12
2.6845,0.28467,0.23376,1.14893,2.59542,30.25954,-5.49618,G12
2.8115,0.21667,0.21130,1.10510,-1.69466,28.50382,-6.91603,G12
2.8875,0.17969,0.17773,1.07263,-5.31298,18.48855,-8.56489,G12
2.9067,0.18152,0.15356,1.04285,-7.95420,4.53435,-9.87786,G12
2.9269,0.21509,0.15063,1.01880,-9.83206,-9.80153,-10.59542,G12
2.9522,0.27100,0.16150,1.01306,-10.85496,-20.99237,-10.67176,G12
2.9658,0.32251,0.16943,1.00403,-11.26718,-27.23664,-10.06107,G12
2.9797,0.36316,0.16687,0.97900,-12.01527,-28.94657,-9.05344,G12
2.9920,0.40723,0.16296,0.94702,-12.70229,-25.63359,-8.65649,G12
3.0048,0.43494,0.17456,0.94092,-12.96183,-18.06107,-8.19847,G12
3.0206,0.42017,0.19458,0.94055,-13.22137,-8.74809,-7.20611,G12
3.0351,0.38452,0.19751,0.92871,-13.84733,-1.14504,-6.80916,G12
3.0504,0.35400,0.17957,0.91333,-14.10687,2.38168,-6.73282,G12
3.0661,0.33191,0.15417,0.89673,-13.69466,1.89313,-5.96947,G12
3.2057,0.33777,0.13953,0.88953,-13.08397,-1.40458,-4.68702,G12
3.3466,0.35950,0.13757,0.89087,-12.59542,-4.45802,-3.28244,G12
3.3653,0.36633,0.14124,0.89331,-12.12214,-4.36641,-1.63359,G12
3.3914,0.34583,0.15002,0.90454,-11.75572,-1.09924,-1.05344,G12
3.4121,0.30518,0.15747,0.90894,-11.81679,2.25954,-2.01527,G12
3.4259,0.26587,0.15186,0.90149,-12.27481,2.62595,-3.72519,G12
3.4391,0.23303,0.15173,0.90356,-12.73282,-0.62595,-5.63359,G12
3.4522,0.22339,0.15356,0.91064,-13.43511,-5.60305,-7.35878,G12
3.4669,0.23474,0.14917,0.92957,-14.25954,-10.97710,-8.45802,G12
3.4805,0.25208,0.15210,0.92981,-14.96183,-15.09924,-8.94656,G12
3.4938,0.25720,0.16187,0.93237,-15.69466,-15.75572,-9.03817,G12
3.5169,0.24988,0.17200,0.96301,-16.04580,-13.23664,-9.63359,G12
3.5310,0.22070,0.18799,0.97473,-16.67175,-9.22137,-11.16031,G12
3.6896,0.20667,0.18628,0.96399,-17.78626,-6.19847,-13.38931,G12
3.9221,0.18042,0.18799,0.96997,-18.32061,-4.16794,-15.72519,G12
3.9663,0.14856,0.18994,0.99500,-18.76336,-2.64122,-17.87786,G12
3.9829,0.12305,0.19751,1.00391,-19.66412,-3.09924,-20.50382,G12
3.9984,0.10767,0.20288,0.99463,-21.02290,-5.92366,-23.29771,G12
4.0133,0.09570,0.19409,0.99719,-22.41221,-10.10687,-26.06107,G12
4.0294,0.10425,0.19153,1.00610,-23.95420,-14.58015,-28.94657,G12
4.0613,0.12585,0.18164,1.00146,-25.46565,-18.24427,-31.75573,G12
