time,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,label
0.0399,0.47888,0.28711,0.76001,8.22901,143.35878,-32.35115,G4
0.0531,0.31641,0.32581,0.78711,11.12977,138.04581,-22.85496,G4
0.0656,0.21033,0.33655,0.81201,10.09160,116.53435,-15.09924,G4
0.0795,0.14368,0.32996,0.82031,4.96183,80.97710,-7.05344,G4
0.0965,0.11768,0.31995,0.82092,-2.56489,36.27481,2.24427,G4
0.1161,0.13965,0.30664,0.79370,-10.93130,-9.49618,10.59542,G4
0.1338,0.21362,0.28711,0.73901,-17.12977,-48.67176,16.83969,G4
0.1526,0.31543,0.27234,0.71362,-19.48092,-74.50381,21.60305,G4
0.1690,0.42627,0.26270,0.68835,-18.41221,-84.99236,26.80916,G4
0.1898,0.50525,0.25964,0.68091,-14.35114,-82.09161,32.35115,G4
0.2096,0.55737,0.27356,0.69751,-7.78626,-69.84733,37.48092,G4
0.3315,0.59338,0.30835,0.72559,-0.35115,-52.51908,41.70992,G4
0.4794,0.59546,0.32251,0.73303,4.88550,-34.56488,48.85496,G4
0.4969,0.55884,0.32336,0.73792,10.77863,-16.27481,58.50382,G4
0.5157,0.51636,0.33167,0.75317,16.99237,2.29008,66.65649,G4
0.5316,0.47913,0.34509,0.76221,21.70992,18.41221,73.55725,G4
0.5472,0.44946,0.39746,0.79175,24.68702,28.12214,81.45038,G4
0.5681,0.43262,0.45300,0.80774,24.00000,29.74046,90.70229,G4
0.5825,0.42590,0.48511,0.81421,20.85496,25.70992,99.72519,G4
0.5977,0.43506,0.48022,0.82751,18.29008,21.69466,106.76336,G4
0.6177,0.46765,0.47131,0.85596,17.09924,21.28244,112.83969,G4
0.6321,0.49988,0.46887,0.88293,17.00763,25.23664,119.78626,G4
0.6458,0.49890,0.49438,0.91577,17.29771,31.45038,128.82443,G4
0.6598,0.46887,0.53613,0.94360,16.77863,36.10687,139.22137,G4
0.7810,0.42346,0.58350,0.94873,14.91603,36.09160,150.15266,G4
0.9546,0.40869,0.64087,0.96008,12.24428,30.93130,160.90076,G4
0.9818,0.44568,0.68445,0.94519,7.90840,22.62595,171.09924,G4
0.9969,0.52368,0.70703,0.92346,3.64885,16.07634,181.52672,G4
1.0119,0.59937,0.71326,0.92273,0.70229,17.37405,192.91603,G4
1.0383,0.62830,0.72498,0.93518,-0.29008,28.94657,204.25954,G4
1.0571,0.63733,0.76624,0.95361,-0.24427,48.51908,213.92366,G4
1.0721,0.61780,0.83118,0.95911,-0.79389,70.01527,223.40459,G4
1.0896,0.54553,0.89917,0.97241,-2.16794,87.75572,233.98473,G4
1.1092,0.44800,0.94922,0.97302,-4.15267,99.06870,243.63359,G4
1.1217,0.42786,0.99878,1.04150,-5.20611,105.05344,248.59541,G4
1.1366,0.33740,1.02441,1.04492,-14.48855,100.32061,263.22137,G4
1.1495,0.26196,1.04224,1.04675,-24.12214,80.88550,281.98474,G4
1.2717,0.27039,1.04321,1.03027,-31.61832,55.34351,290.29007,G4
1.3090,0.35474,1.03284,1.03430,-33.89313,38.16794,287.78625,G4
1.4588,0.44885,1.03174,1.05908,-33.92366,39.12977,283.26718,G4
1.4812,0.42407,1.05371,1.09656,-35.81680,50.51908,290.88550,G4
1.4939,0.31921,1.08813,1.11426,-40.91603,60.71756,302.73282,G4
1.5077,0.24744,1.08472,1.09216,-49.98473,66.62595,304.00000,G4
1.5288,0.21375,1.04700,1.04761,-58.85496,71.31298,297.19083,G4
1.5456,0.18909,0.98779,1.00073,-64.80916,76.53435,291.16031,G4
1.5605,0.19141,0.94031,0.99121,-67.54198,78.77863,288.74808,G4
1.5738,0.18030,0.90796,0.97766,-70.12214,75.41985,288.68701,G4
1.5867,0.11865,0.88806,0.96167,-72.62595,72.64122,287.32825,G4
