time,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,label
0.2030,-0.26648,0.08521,0.90771,-7.00763,-8.74809,-11.80153,G4
0.2168,-0.12415,0.09497,0.92871,-7.58779,-14.80916,-11.57252,G4
0.2332,-0.12415,0.09497,0.92871,-7.58779,-14.80916,-11.57252,G4
0.2484,-0.09290,0.09204,0.93787,-6.91603,-8.73282,-11.11450,G4
0.2669,-0.18665,0.08496,0.93628,-5.25191,6.91603,-8.27481,G4
0.2834,-0.24194,0.09009,0.92102,-5.66412,7.20611,-7.11450,G4
0.3010,-0.25952,0.08606,0.90759,-6.73282,1.64885,-5.98473,G4
0.3189,-0.23584,0.07703,0.89954,-7.96947,-6.01527,-4.42748,G4
0.3380,-0.19299,0.08032,0.90259,-8.73282,-10.29008,-2.59542,G4
0.3573,-0.17297,0.09021,0.90918,-8.48855,-8.61069,-1.19084,G4
0.4955,-0.17236,0.10034,0.90967,-7.72519,-3.86260,-0.42748,G4
0.5902,-0.19092,0.09949,0.91187,-7.00763,0.51908,-0.07634,G4
0.6388,-0.20752,0.09070,0.90930,-6.61069,2.59542,-0.22901,G4
0.6549,-0.24146,0.08594,0.91614,-6.38168,3.16031,-0.58015,G4
0.6698,-0.26624,0.08362,0.91333,-6.25954,1.78626,-1.26718,G4
0.6840,-0.27222,0.09070,0.92114,-6.56489,-2.48855,-1.69466,G4
0.7164,-0.25342,0.09680,0.92322,-7.26718,-8.01527,-1.89313,G4
0.7356,-0.22095,0.09436,0.92468,-7.75573,-11.31298,-1.63359,G4
0.7494,-0.18774,0.10059,0.91565,-7.43511,-10.16794,-1.05344,G4
0.7635,-0.18188,0.10132,0.91504,-6.42748,-5.45038,-0.39695,G4
0.7780,-0.19910,0.10315,0.92786,-5.26718,0.62595,0.12214,G4
0.7920,-0.23987,0.10217,0.92627,-4.65649,4.76336,0.04580,G4
0.8062,-0.27698,0.09668,0.92651,-4.62595,5.22137,-0.48855,G4
0.8191,-0.30957,0.09692,0.92041,-5.19084,1.66412,-1.20611,G4
0.9272,-0.29578,0.09534,0.92529,-6.01527,-4.00000,-1.84733,G4
1.0813,-0.27075,0.09436,0.92627,-6.80916,-9.12977,-2.38168,G4
1.0981,-0.23157,0.10022,0.92126,-7.14504,-11.38931,-2.58015,G4
1.1120,-0.19751,0.09912,0.92383,-6.67176,-9.58779,-2.30534,G4
1.1260,-0.19348,0.09290,0.92261,-5.70992,-4.93130,-1.92366,G4
1.1406,-0.20740,0.09473,0.92944,-4.35115,1.20611,-1.74046,G4
1.1664,-0.23950,0.10388,0.93628,-3.16031,5.87786,-1.93893,G4
1.1801,-0.27539,0.10815,0.94470,-2.83969,6.61069,-2.42748,G4
1.1921,-0.29626,0.10571,0.94397,-3.25191,3.54198,-2.94656,G4
1.2062,-0.29053,0.10376,0.94031,-4.24427,-1.90840,-3.60305,G4
1.2314,-0.26855,0.10327,0.93665,-5.23664,-6.73282,-4.03053,G4
1.2434,-0.24634,0.10095,0.93213,-5.83206,-8.96183,-4.39695,G4
1.2559,-0.20593,0.10461,0.92175,-5.86260,-8.36641,-4.38168,G4
1.2689,-0.18091,0.10706,0.93005,-5.19084,-4.82443,-3.96947,G4
1.4686,-0.18518,0.10681,0.93323,-4.33588,0.44275,-3.77099,G4
1.5484,-0.20300,0.11340,0.94238,-3.64885,4.94656,-3.55725,G4
1.5611,-0.24133,0.11584,0.93616,-3.35878,6.22901,-3.14504,G4
1.5775,-0.26892,0.11548,0.93323,-3.77099,3.29771,-3.29771,G4
1.5910,-0.25659,0.11975,0.92224,-4.70229,-2.30534,-3.74046,G4
1.6084,-0.24414,0.11877,0.91711,-5.49618,-7.58779,-4.00000,G4
1.6302,-0.21667,0.11487,0.92383,-5.83206,-10.07634,-4.36641,G4
1.6446,-0.18372,0.10645,0.93347,-5.81679,-9.70992,-4.93130,G4
1.6580,-0.16772,0.10791,0.94336,-5.55725,-6.32061,-5.09924,G4
1.6699,-0.17224,0.11584,0.95166,-5.09924,-1.55725,-4.56489,G4
1.6927,-0.19287,0.12695,0.95105,-4.88550,1.74046,-3.84733,G4
1.7054,-0.21570,0.13074,0.95117,-5.17557,1.83206,-3.03817,G4
1.7182,-0.22058,0.12817,0.94556,-6.10687,-0.91603,-2.15267,G4
1.7347,-0.23901,0.12305,0.93665,-6.83969,-4.35115,-1.41985,G4
1.8786,-0.22668,0.11157,0.93738,-7.22137,-7.00763,-1.41985,G4
2.0646,-0.20142,0.10608,0.94348,-7.61832,-8.56489,-1.40458,G4
2.0847,-0.18970,0.10730,0.94397,-7.77099,-7.64885,-1.22137,G4
2.0999,-0.19421,0.10339,0.95459,-7.60305,-4.65649,-0.96183,G4
2.1140,-0.20459,0.10156,0.95142,-7.37405,-1.48092,-0.87023,G4
