time,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,label
0.1674,-0.06616,-0.29712,0.26172,-32.93130,-10.00000,19.51145,G6
0.2983,-0.06372,-0.32178,0.25269,-28.87023,-18.62595,15.60305,G6
0.3128,-0.05029,-0.36572,0.25476,-24.33588,-27.83206,11.90840,G6
0.3291,-0.02881,-0.41663,0.25854,-18.82443,-37.45038,8.74809,G6
0.3428,0.00244,-0.45007,0.26880,-12.27481,-46.82443,6.15267,G6
0.3646,0.02917,-0.46375,0.28271,-4.65649,-54.58015,3.55725,G6
0.3812,0.04370,-0.46191,0.28992,3.45038,-61.28244,0.42748,G6
0.3955,0.05811,-0.44507,0.30554,11.41985,-67.31298,-2.93130,G6
0.4112,0.06287,-0.41772,0.31165,18.62595,-74.48855,-6.85496,G6
0.4294,0.07092,-0.36145,0.32263,24.59542,-83.80153,-11.92366,G6
0.4459,0.08655,-0.30676,0.32166,28.42748,-95.43511,-18.22901,G6
0.4617,0.11890,-0.26196,0.30591,30.47328,-110.41222,-24.90076,G6
0.4768,0.14722,-0.26514,0.26294,32.00000,-127.52672,-30.91603,G6
0.4930,0.15247,-0.31812,0.18909,33.89313,-144.82443,-35.60305,G6
0.6284,0.16528,-0.38184,0.11304,37.61832,-160.27481,-40.88550,G6
0.7536,0.18176,-0.40588,0.04419,43.98473,-172.82443,-48.59542,G6
0.7693,0.20593,-0.35901,-0.00757,53.02290,-182.48856,-59.66412,G6
0.7830,0.21631,-0.27295,-0.03882,62.76336,-189.41985,-72.36641,G6
0.7973,0.21716,-0.16492,-0.05896,72.00000,-197.58778,-85.72519,G6
0.8239,0.20862,-0.05920,-0.10986,79.95420,-211.17557,-99.80153,G6
0.8391,0.20837,-0.00940,-0.22803,87.08397,-233.92366,-114.56489,G6
0.8527,0.23718,-0.02466,-0.37012,95.63359,-267.95419,-129.29771,G6
0.8679,0.27527,-0.07825,-0.48059,105.22137,-312.64124,-141.49619,G6
0.9032,0.34644,-0.10413,-0.60718,116.18320,-357.02289,-153.95419,G6
0.9170,0.43335,-0.04712,-0.66296,130.22900,-392.88550,-168.58015,G6
0.9314,0.53784,0.18079,-0.61719,148.16794,-410.88550,-189.96947,G6
1.0771,0.65857,0.58984,-0.51453,163.84734,-407.60306,-221.83206,G6
1.2494,0.81213,1.13196,-0.41748,171.35878,-386.21375,-262.59543,G6
1.2765,0.97351,1.53088,-0.44104,172.38168,-353.14505,-308.24426,G6
1.2929,1.17700,1.59338,-0.38562,186.25954,-311.03818,-357.87787,G6
1.3090,1.45776,1.65552,-0.12756,217.75572,-246.30534,-412.62595,G6
1.3452,1.78076,1.84766,0.54175,252.22900,-145.54199,-461.46564,G6
1.3586,3.09009,2.41101,2.02673,258.94656,11.37405,-488.88550,G6
1.3723,3.88586,1.95557,0.30603,184.83969,170.25954,-448.36642,G6
1.4042,3.15295,0.67700,-0.49023,200.48856,195.26718,-313.32825,G6
1.4209,2.01367,0.27332,-0.55273,254.76335,282.99237,-158.70229,G6
1.4373,1.22583,0.69116,-1.06409,245.08397,500.25955,-41.92366,G6
1.4527,0.98669,1.18799,0.05859,236.91603,500.25955,47.61832,G6
1.5716,1.21008,1.33118,0.38513,259.12976,500.25955,94.00000,G6
1.7630,1.27307,1.39368,0.18506,283.46564,500.25955,102.41222,G6
1.7812,-0.21362,1.81128,0.89819,283.61832,500.25955,112.65649,G6
1.7968,-0.71411,1.97278,1.46680,253.86259,444.41220,93.72519,G6
1.8113,-1.05994,2.06116,1.75964,193.25191,313.74045,94.03053,G6
1.8243,-1.10156,1.88831,1.78455,125.16031,162.04581,118.64122,G6
1.8505,-0.69128,1.65540,1.80078,82.39695,13.61832,150.97710,G6
1.8644,-0.12805,1.53394,1.78357,58.35115,-97.66412,173.37404,G6
1.8781,0.38452,1.35498,1.60828,39.87786,-145.89313,178.80916,G6
1.8938,0.68152,1.15442,1.41675,38.96183,-147.78625,174.27481,G6
1.9089,0.78271,1.00610,1.23035,53.26717,-99.95420,161.32825,G6
