time,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,label
0.3693,1.25647,-0.05505,0.00574,4.22901,25.37405,84.16794,G12
0.3893,1.09619,-0.03186,0.12927,13.63359,36.47328,87.38931,G12
0.4095,1.09619,-0.03186,0.12927,13.63359,36.47328,87.38931,G12
0.4276,1.05017,-0.03174,0.12927,15.41985,29.90840,91.20611,G12
0.4455,1.05554,-0.03601,-0.00208,17.55725,13.00763,98.15267,G12
0.4624,1.05383,-0.04724,-0.07288,19.60305,11.92366,97.87786,G12
0.4813,1.02893,-0.06274,-0.12537,23.09924,15.43511,95.08397,G12
0.4999,1.02356,-0.11816,-0.08362,28.27481,19.03817,91.48092,G12
0.5193,1.01245,-0.15686,-0.01807,33.61832,17.63359,90.83969,G12
0.6981,0.94336,-0.12024,-0.00647,38.03053,14.99237,92.35114,G12
0.7529,0.85498,-0.08374,-0.00891,42.04580,13.38931,93.06870,G12
0.7767,0.81775,-0.09204,-0.03052,46.07634,10.09160,94.19847,G12
0.9776,0.76111,-0.05627,-0.10242,49.70992,5.93893,97.16031,G12
1.1788,0.77869,-0.04346,-0.18567,53.22137,6.87023,91.45038,G12
1.2834,0.76367,-0.07910,-0.18970,59.16031,12.24428,85.55725,G12
1.3557,0.75000,-0.13379,-0.14539,66.99236,14.32061,82.30534,G12
1.3813,0.77979,-0.18530,-0.03406,75.06870,9.64886,81.74046,G12
1.3996,0.75903,-0.17725,0.05640,82.36641,-2.64122,90.03053,G12
1.4247,0.66052,-0.09436,0.05750,86.19847,-19.14504,103.06870,G12
1.4462,0.65881,-0.07715,-0.00818,87.34351,-30.24427,102.21374,G12
1.4884,0.66199,-0.11096,-0.09766,88.88550,-30.51908,94.65649,G12
1.5168,0.67187,-0.15845,-0.12012,92.85497,-23.16031,84.56489,G12
1.5414,0.67578,-0.19458,-0.07593,98.29008,-16.77863,76.36641,G12
1.7451,0.72363,-0.26172,0.01221,103.58778,-15.60305,70.10687,G12
2.0882,0.80078,-0.34741,0.10242,107.72519,-16.82443,65.05344,G12
2.1992,0.83972,-0.38977,0.14685,110.01527,-15.32824,59.60305,G12
2.2390,0.86841,-0.36926,0.14026,109.64886,-8.56489,49.20611,G12
2.2607,0.84668,-0.31348,0.12170,108.94656,-0.88550,45.89313,G12
2.3004,0.67615,-0.25427,0.10608,108.32061,-2.77863,60.50382,G12
2.3230,0.58984,-0.21399,0.08533,107.37405,-17.74046,70.99236,G12
2.3474,0.67847,-0.18970,0.08142,107.31298,-34.68702,64.73283,G12
2.3693,0.75903,-0.17700,0.11755,108.91603,-43.40458,55.32824,G12
2.4117,0.75952,-0.17017,0.13977,110.54962,-45.25191,48.07634,G12
2.6386,0.73059,-0.21704,0.16492,111.49619,-47.31298,43.61832,G12
2.7108,0.70740,-0.26416,0.17834,112.82442,-49.49618,42.29008,G12
3.0834,0.69434,-0.26245,0.17004,114.32061,-50.90076,40.90076,G12
3.1122,0.71399,-0.21997,0.15930,116.13741,-50.97710,39.05344,G12
3.1336,0.71973,-0.18152,0.16187,118.03053,-49.35878,37.57252,G12
3.1530,0.71716,-0.16406,0.16101,119.60305,-46.93130,34.38168,G12
3.1813,0.67896,-0.15552,0.14819,120.91603,-45.03817,33.08397,G12
3.2240,0.66333,-0.16479,0.16797,122.68702,-46.21374,31.60305,G12
3.2497,0.67175,-0.17163,0.19836,124.03053,-49.37405,29.72519,G12
3.4384,0.69153,-0.20227,0.20459,124.22900,-52.09160,25.70992,G12
3.4974,0.74902,-0.21191,0.22668,124.24428,-52.09160,18.06107,G12
3.8749,0.77124,-0.20569,0.24097,123.46565,-49.25191,11.37405,G12
3.9100,0.79321,-0.20520,0.25769,121.98473,-46.73283,7.09924,G12
3.9292,0.83887,-0.22241,0.27991,120.32061,-44.59542,5.28244,G12
3.9453,0.85681,-0.19739,0.30103,118.45802,-41.67939,4.77863,G12
3.9748,0.80701,-0.15466,0.30444,115.31298,-41.89313,3.35878,G12
3.9966,0.78760,-0.12146,0.28516,111.37405,-46.25954,0.73282,G12
4.0126,0.76233,-0.09888,0.24402,107.41985,-53.09924,-1.25191,G12
4.0323,0.75061,-0.08093,0.20068,104.15267,-62.45802,-3.06870,G12
4.0514,0.80664,-0.08167,0.20728,101.96947,-71.52672,-6.18321,G12
4.0699,0.88574,-0.08801,0.24658,101.54198,-73.48092,-9.23664,G12
4.2632,0.92004,-0.08704,0.29016,101.37405,-67.55725,-11.37405,G12
