time,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,label
0.5190,0.10730,0.07410,0.85400,-4.56489,31.72519,-6.21374,G14
0.6298,-0.07324,0.08923,0.77441,-2.51908,43.95420,-6.54962,G14
0.6505,-0.17493,0.14209,0.78418,0.70229,29.06870,-6.94656,G14
0.6690,-0.09448,0.20605,0.82214,3.19084,-3.34351,-6.61069,G14
0.6873,0.04492,0.22754,0.91199,4.79389,-31.98473,-4.94656,G14
0.7064,0.10864,0.20996,0.99280,3.40458,-44.22901,-3.60305,G14
0.7259,0.17957,0.20093,1.02136,-0.01527,-40.10687,-6.42748,G14
0.7470,0.23718,0.19739,1.01697,-3.08397,-25.49618,-10.13740,G14
0.7686,0.23401,0.16663,0.98645,-6.04580,-6.97710,-10.77863,G14
0.7906,0.17554,0.14465,0.97278,-6.90076,10.90076,-10.01527,G14
0.9595,0.08826,0.13635,0.93591,-6.97710,22.76336,-8.48855,G14
1.2333,0.01807,0.13757,0.92102,-5.41985,23.70992,-6.88550,G14
1.3190,0.01074,0.15369,0.93274,-3.37405,13.37405,-5.61832,G14
1.3440,0.05981,0.16699,0.94971,-1.98473,-0.30534,-4.94656,G14
1.3629,0.11682,0.17688,0.98108,-1.45038,-9.16031,-4.41221,G14
1.3807,0.15649,0.17920,0.99353,-2.45802,-12.39695,-4.07634,G14
1.4128,0.18213,0.18018,0.99487,-3.95420,-11.03817,-4.29008,G14
1.4404,0.19739,0.17786,1.00110,-5.14504,-5.89313,-4.47328,G14
1.4593,0.18665,0.16943,1.00159,-6.27481,1.75573,-3.81679,G14
1.4785,0.14893,0.16064,0.99426,-7.08397,8.97710,-2.58015,G14
1.4968,0.10657,0.15381,0.99109,-6.91603,13.54198,-1.54198,G14
1.6922,0.07678,0.16516,0.98950,-6.07634,13.32824,-0.53435,G14
1.8987,0.09338,0.18127,0.99658,-5.78626,9.41985,-0.06107,G14
2.0510,0.12537,0.18152,0.99451,-5.80153,6.24427,0.56489,G14
2.0727,0.14514,0.18689,0.98621,-6.00000,6.54962,1.26718,G14
2.0895,0.13245,0.18787,0.97852,-6.77863,9.55725,1.58779,G14
2.1197,0.09399,0.18079,0.97571,-7.98473,13.05344,1.45038,G14
2.1408,0.05225,0.17358,0.97937,-8.51908,13.67939,1.11450,G14
2.1582,0.04224,0.17932,0.98157,-8.85496,9.32824,1.00763,G14
2.1740,0.06067,0.18140,0.97437,-8.59542,3.46565,1.46565,G14
2.1894,0.07800,0.17969,0.97461,-8.09160,0.61069,1.84733,G14
2.2044,0.08887,0.18042,0.97620,-8.13740,1.83206,1.69466,G14
2.2233,0.07751,0.17505,0.97168,-8.44275,5.08397,1.28244,G14
2.3884,0.06860,0.17712,0.95459,-8.44275,8.21374,0.61069,G14
2.5123,0.04626,0.17664,0.94348,-7.92366,9.95420,0.13740,G14
2.7296,0.01245,0.17908,0.91687,-7.29771,9.95420,0.21374,G14
2.7590,-0.00391,0.18176,0.91260,-6.83969,8.10687,0.10687,G14
2.7777,-0.00037,0.18079,0.92749,-5.81679,3.14504,0.27481,G14
2.8026,0.01208,0.18909,0.94641,-4.50382,-4.35115,0.76336,G14
2.8406,0.03040,0.19543,0.96277,-3.69466,-9.37405,0.21374,G14
2.8608,0.03833,0.18945,0.96936,-3.93893,-9.38931,-1.95420,G14
2.8774,0.04834,0.17261,0.96936,-4.70229,-6.35115,-4.79389,G14
2.8934,0.05774,0.15881,0.94556,-5.77099,-3.29771,-7.12977,G14
2.9075,0.07007,0.14832,0.91931,-6.44275,-1.25191,-8.65649,G14
3.0576,0.08423,0.13135,0.88330,-6.24427,0.13740,-8.71756,G14
3.0983,0.09985,0.11633,0.86047,-4.36641,1.40458,-7.75573,G14
3.3920,0.09570,0.13281,0.88342,-1.86260,1.58779,-5.90840,G14
3.4565,0.09570,0.16846,0.93567,-1.46565,0.10687,-4.21374,G14
3.4767,0.10254,0.18311,0.96423,-2.42748,-1.77099,-3.83206,G14
3.5137,0.09644,0.17065,0.99683,-3.45038,-2.48855,-3.72519,G14
3.5320,0.09265,0.16638,0.98706,-4.47328,-3.16031,-4.07634,G14
3.5465,0.11230,0.16614,0.97632,-4.25954,-3.09924,-4.94656,G14
3.5645,0.11792,0.15283,0.96338,-4.09160,-1.05344,-5.12977,G14
3.6026,0.12659,0.14954,0.96069,-3.70992,1.92366,-4.70229,G14
3.6211,0.14343,0.15552,0.94495,-3.32824,3.96947,-3.49618,G14
3.8027,0.15002,0.16602,0.95520,-2.64122,5.54198,-1.64885,G14
3.8337,0.14856,0.16882,0.97314,-2.70229,7.78626,0.09160,G14
4.1004,0.13525,0.17004,0.99390,-3.14504,10.61069,1.00763,G14
4.2010,0.10669,0.17554,0.99744,-4.21374,13.19084,1.32824,G14
