x,y,label
-45.87913,-4.43142,0
-44.348125,-3.9641194,0
-45.428432,-1.4463005,0
-49.150993,-7.1054015,0
-47.425728,-2.9322674,0
-44.18478,-5.256276,0
-47.538784,-5.0316267,0
-45.061203,-1.8045378,0
-43.50565,-4.3999496,0
-48.30107,-5.595962,0
-44.939518,-2.591327,0
-48.905342,-7.0012236,0
-46.3958,-2.6130824,0
-47.016285,-7.179869,0
-46.12711,-4.726414,0
-44.759895,-2.7442312,0
-47.840473,-6.5919886,0
-46.582306,-5.2452602,0
-46.51598,-2.82958,0
-44.693535,-5.4134336,0
-49.27957,-6.898715,0
-46.613358,-4.3629775,0
-45.367596,-3.0103488,0
-44.284203,-4.467855,0
-47.42428,-6.231633,0
-47.487007,-3.0356255,0
-43.95478,-5.0482044,0
-48.503887,-6.2524114,0
-47.77242,-3.1519964,0
-45.05416,-2.497464,0
-0.0818812,54.450897,9
2.7514505,54.32141,9
2.5342042,54.517982,9
1.8861074,55.543262,9
2.2683372,53.827763,9
2.1410708,53.604687,9
1.4380116,54.013443,9
2.0682979,53.151978,9
2.7599118,53.768806,9
2.744045,53.812164,9
1.3021364,56.45272,9
1.5840693,56.363228,9
0.9037794,56.54881,9
0.87616646,55.170322,9
1.0994546,54.247734,9
0.81551486,54.191357,9
2.5573425,54.990524,9
2.4699376,54.77847,9
3.4364514,55.0661,9
1.8470294,54.400703,9
3.016555,55.021484,9
0.5488989,53.78526,9
2.6564856,55.47205,9
2.7995038,53.319496,9
3.6345518,55.097523,9
1.269405,55.49791,9
2.5156581,54.910892,9
1.2146099,55.868675,9
0.88566417,55.474216,9
0.80816144,55.458534,9
33.755524,28.505507,10
34.50097,25.974752,10
33.34723,26.828123,10
34.5264,25.93549,10
32.14604,26.546791,10
35.8225,26.814938,10
34.766193,28.054672,10
35.23818,26.290236,10
35.070103,26.161236,10
33.097347,28.023853,10
34.661957,26.813324,10
35.369316,26.681911,10
32.623142,27.597166,10
34.38682,24.816586,10
33.98519,28.218082,10
33.391415,26.596802,10
33.972862,27.289387,10
32.460224,26.978489,10
35.52112,26.26817,10
34.14129,26.358955,10
33.062317,24.231207,10
33.650692,26.577612,10
33.540314,25.956268,10
32.124245,24.954021,10
33.21014,25.537888,10
30.686096,26.832047,10
31.653704,26.946196,10
30.626963,26.815138,10
33.32148,27.515882,10
33.37561,26.568775,10
43.176422,4.381296,11
48.643684,5.2591805,11
49.558327,6.6705294,11
45.867046,1.2794547,11
49.02484,6.2621694,11
44.988815,2.0411775,11
45.672012,5.3214574,11
45.831974,1.9663441,11
44.73668,4.3781314,11
44.524,2.6018806,11
49.269165,5.8197923,11
46.354942,5.5215592,11
44.78924,2.1548336,11
45.826565,3.2204664,11
46.895626,4.52241,11
44.33584,2.7541988,11
48.92073,6.266439,11
47.631683,3.8176498,11
46.071564,2.722397,11
45.3907,5.6522536,11
45.882675,1.8656723,11
47.682896,4.4186206,11
46.202354,3.9316494,11
47.428165,4.0365157,11
46.991028,3.3342395,11
49.065216,6.2800455,11
47.23722,3.916218,11
46.49954,2.3662083,11
48.176414,6.357812,11
45.952435,1.7755923,11
-21.174362,34.155415,12
-21.583868,35.291656,12
-18.863192,35.074146,12
-20.15911,33.937157,12
-21.585587,36.103653,12
-19.308226,35.68586,12
-22.554163,35.139194,12
-19.985678,35.364532,12
-20.06227,34.47162,12
-21.8833,36.49608,12
-21.667757,35.37127,12
-21.727142,36.86319,12
-20.717781,34.422424,12
-22.755604,35.647205,12
-19.375446,36.23553,12
-22.555008,35.398464,12
-22.663506,37.43556,12
-22.890507,36.49369,12
-21.659681,37.12035,12
-20.15836,33.98445,12
-21.759142,36.925823,12
-21.348387,36.512203,12
-19.807716,34.35125,12
-21.65304,35.798576,12
-21.782082,35.459064,12
-19.406748,33.50618,12
-22.49911,35.210247,12
-20.162067,33.927692,12
-22.356506,35.448624,12
-20.205475,34.631794,12
20.255337,-3.9995847,13
19.683376,-2.104113,13
19.160997,-2.6413672,13
20.266422,-4.4045434,13
20.085474,-4.3329453,13
19.37033,-3.4434164,13
19.42193,-2.3783796,13
18.82167,-4.4142046,13
19.628967,-4.161856,13
18.746008,-2.6244206,13
19.649632,-4.661161,13
20.183962,-4.545427,13
20.029608,-5.744189,13
18.772594,-2.8487146,13
18.591768,-5.468826,13
20.400188,-5.2818503,13
19.314053,-5.6901484,13
19.300821,-5.7827234,13
19.507605,-5.477949,13
17.007223,0.07987636,13
19.938183,-5.8959146,13
16.920324,0.23613073,13
20.10166,-6.2233143,13
20.341665,-6.2620835,13
19.602837,-6.0644193,13
19.774162,-4.9003053,13
19.573984,-5.4428062,13
19.286318,-5.474948,13
17.408714,-1.3667684,13
17.051378,0.32968283,13
1.3617582,-23.34428,14
0.5968568,-21.011768,14
2.737145,-21.614819,14
2.7706044,-23.91814,14
1.3402905,-21.182737,14
2.8696718,-24.044592,14
1.4446979,-20.55296,14
2.85195,-24.027424,14
1.7068968,-20.840052,14
2.899025,-24.09001,14
1.7981435,-20.482168,14
2.8984466,-24.02932,14
2.6057205,-20.811417,14
0.56436384,-23.744644,14
2.8313353,-21.205639,14
0.49538237,-23.786777,14
2.7499025,-20.796343,14
2.469906,-23.401337,14
2.0129354,-20.58564,14
2.3376284,-22.804506,14
1.4973994,-20.960382,14
2.0181546,-22.759382,14
1.972058,-20.95821,14
1.8283927,-23.286428,14
0.7842042,-21.009403,14
2.829229,-21.262312,14
2.5003033,-23.02763,14
1.7019287,-20.85614,14
1.896119,-23.594105,14
1.1281813,-21.162758,14
38.41193,-13.239877,1
36.343884,-13.04528,1
34.70256,-14.565399,1
34.852825,-13.357621,1
37.292503,-12.9922695,1
35.127365,-13.144363,1
34.281845,-14.102004,1
37.414143,-13.737296,1
33.65798,-14.731452,1
36.958767,-16.155731,1
35.194695,-14.915638,1
36.104694,-15.397753,1
34.274673,-15.219561,1
35.32694,-13.754372,1
38.950867,-14.240059,1
37.132706,-15.853629,1
36.62368,-14.004574,1
36.483154,-13.781846,1
35.277348,-14.625267,1
37.549995,-14.845989,1
35.319,-13.246244,1
36.01911,-14.272582,1
34.567696,-14.333197,1
37.798855,-13.578894,1
37.40373,-14.107791,1
36.703346,-14.4424305,1
37.44823,-14.454826,1
37.660213,-13.15611,1
36.093567,-14.156613,1
39.017483,-14.285595,1
-42.4194,2.107966,2
-39.791115,3.6313617,2
-37.523483,3.592557,2
-36.081722,4.215598,2
-35.768425,4.4561415,2
-36.20819,4.4235134,2
-35.702316,4.373872,2
-41.419292,5.771047,2
-42.33606,2.854737,2
-42.727688,1.7419633,2
-40.13247,3.424962,2
-40.202625,5.6273484,2
-35.725285,4.291906,2
-38.768982,5.1299405,2
-42.35402,2.5921783,2
-40.127346,4.1772413,2
-37.47248,3.7021635,2
-41.45729,5.7040076,2
-42.272453,2.993038,2
-39.95348,3.5007632,2
-36.213467,4.372553,2
-42.253265,2.9260104,2
-39.726208,3.7570174,2
-35.5454,4.104851,2
-41.308323,5.7744856,2
-42.105896,3.2947617,2
-42.412663,2.0840616,2
-38.020615,4.698197,2
-35.97774,4.072259,2
-42.32207,2.7420626,2
-11.358384,-33.612377,3
