x,y,label
16.451122,-4.1313047,0
9.121939,-6.0526595,0
12.518278,1.4646916,0
8.695884,-0.56515044,0
12.903636,1.4048744,0
9.276498,-10.2434,0
14.710604,-5.070398,0
12.3365755,2.8875542,0
8.842268,-7.826472,0
14.068845,-6.5443497,0
10.869381,2.7158916,0
11.9524,-7.559556,0
11.72261,1.9029939,0
8.926356,-8.310623,0
15.878591,-5.491648,0
10.615181,1.9934946,0
8.112991,-8.238912,0
14.243352,-2.7232602,0
12.071269,2.9409387,0
9.213652,-7.7827487,0
12.393346,-7.3792167,0
16.409773,-5.009828,0
12.175831,3.0125906,0
9.116588,-6.216594,0
13.83418,-3.2521486,0
14.687448,-2.50988,0
8.120331,-12.017411,0
10.885932,-0.08676438,0
15.444996,-3.173794,0
10.571791,2.1868289,0
-41.752834,-9.043328,9
-41.86078,-7.5576854,9
-41.90787,-7.7142773,9
-44.221455,-11.090743,9
-45.295464,-10.233337,9
-43.036304,-10.591998,9
-44.012547,-7.743797,9
-45.5757,-9.630189,9
-45.62611,-10.167249,9
-43.59414,-9.955439,9
-43.75396,-10.325552,9
-42.705196,-9.951462,9
-43.096764,-10.383112,9
-44.653805,-9.433633,9
-44.40495,-8.855548,9
-43.846653,-8.105764,9
-42.20507,-8.830428,9
-43.446987,-8.098343,9
-43.479885,-7.682989,9
-42.857887,-8.195148,9
-42.770042,-8.283194,9
-43.389446,-9.116713,9
-42.857998,-8.702834,9
-42.753082,-9.307899,9
-43.501286,-9.097823,9
-44.395733,-9.743755,9
-43.325165,-9.477581,9
-44.05613,-9.762224,9
-44.276714,-9.546519,9
-42.713318,-9.807571,9
6.859926,42.817635,10
7.5336065,45.88508,10
9.051113,43.533894,10
8.435035,44.38982,10
7.1747003,43.814243,10
7.992954,44.436768,10
6.74059,42.82753,10
7.0052643,44.055817,10
8.319948,45.24493,10
7.316847,45.48748,10
8.170885,44.389545,10
10.13075,44.73699,10
6.823155,45.26489,10
7.947014,48.51818,10
7.545133,43.766563,10
8.599279,43.9007,10
8.318119,45.420933,10
9.103305,44.162983,10
9.815274,47.2567,10
9.104467,44.896835,10
9.415615,46.28537,10
8.878383,44.749813,10
9.649168,46.398598,10
9.584944,46.654427,10
8.924863,46.17774,10
8.5459,46.5159,10
8.101304,46.476017,10
8.963024,47.30658,10
9.856541,45.774754,10
8.978526,44.619137,10
2.2010748,-15.789858,11
-23.248423,-1.1671361,11
-24.456097,-2.082605,11
-22.651018,3.5263615,11
-24.102928,-2.4642837,11
-22.795162,1.9795091,11
-23.075344,-2.089615,11
-19.30157,0.526475,11
-22.972166,-1.4477015,11
-23.791754,2.5607238,11
-26.176107,-2.502446,11
-23.149801,-1.4799427,11
-22.938393,3.029406,11
-24.663364,0.029043466,11
-23.156685,-2.0089571,11
-24.17886,1.357816,11
-24.701958,-2.3528883,11
-22.481632,-0.100776464,11
-24.520565,0.63617975,11
-26.000729,-0.5412014,11
-22.476135,1.8403386,11
-24.690168,0.4734761,11
-23.95956,-2.6731606,11
-22.22402,0.39251304,11
-24.985819,1.057061,11
-24.51833,-2.5248618,11
-22.405731,-0.14872736,11
-24.294645,0.9178415,11
-24.473705,-2.3933766,11
-22.288456,1.79749,11
3.148406,33.0112,12
3.0745006,35.549694,12
1.2126762,30.276066,12
2.3874214,31.659048,12
2.725792,35.316334,12
1.2020656,29.985317,12
3.0271342,34.637215,12
1.362137,30.479767,12
2.9213755,31.974306,12
0.5232658,36.805973,12
3.4681458,32.822544,12
1.7292051,36.13626,12
3.1847742,31.68151,12
3.8592322,34.96961,12
1.5934906,29.89521,12
3.551792,34.56777,12
1.7486668,37.017628,12
3.7117617,32.476162,12
0.9716078,36.442417,12
2.6161065,30.99851,12
0.7699659,36.47797,12
3.5585442,33.401535,12
2.9156542,31.145313,12
2.5015159,35.66241,12
3.5542073,34.87414,12
-0.17932487,29.41275,12
4.115157,36.01594,12
3.0706263,31.28236,12
3.9866529,35.823692,12
3.230157,31.200634,12
2.908879,-17.120691,13
3.7353902,-16.044138,13
3.8863823,-17.090004,13
4.29938,-18.7632,13
3.7117832,-18.376087,13
5.1193857,-18.496435,13
4.169934,-16.496323,13
5.164855,-18.495146,13
6.155927,-18.900843,13
8.432703,-16.18206,13
6.369702,-19.099453,13
6.9151273,-19.587467,13
7.623011,-27.643538,13
7.5545726,-27.054924,13
8.323807,-27.941763,13
8.116802,-27.877243,13
8.162642,-28.632511,13
8.652494,-28.41561,13
8.329686,-28.52015,13
8.686331,-27.246128,13
7.882023,-29.112051,13
8.3474655,-26.858797,13
